spol,tip_putnika,godine,vrsta_putovanja,klasa,udaljenost_leta,vrijeme_odlaska_dolaska,kasnjenje_polaska_u_minutama,kasnjenje_dolaska_u_minutama,zadovoljstvo_putnika
musko,Lojalan putnik,43,Poslovno putovanje,Ekonomska,239,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,32,Poslovno putovanje,Poslovna,1874,3,0,4,Zadovoljan
musko,Lojalan putnik,30,Poslovno putovanje,Poslovna,1371,5,47,54,Zadovoljan
zensko,Lojalan putnik,13,Poslovno putovanje,Poslovna,500,2,0,0,Zadovoljan
zensko,Lojalan putnik,36,Lično putovanje,Ekonomska,594,1,86,106,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,72,Poslovno putovanje,Ekonomska,899,2,45,4,Neutralan ili nezadovoljan
zensko,Lojalan putnik,59,Lično putovanje,Ekonomska,1771,4,9,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,28,Lično putovanje,Poslovna,993,4,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,26,Poslovno putovanje,Ekonomska,190,1,32,45,Neutralan ili nezadovoljan
musko,Lojalan putnik,52,Poslovno putovanje,Poslovna,1073,2,13,18,Zadovoljan
zensko,Lojalan putnik,44,Lično putovanje,Ekonomska,259,1,0,0,Zadovoljan
musko,Lojalan putnik,27,Poslovno putovanje,Poslovna,356,1,1,38,Zadovoljan
zensko,Nelojalan putnik,39,Poslovno putovanje,Poslovna,748,3,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,42,Poslovno putovanje,Poslovna,3236,5,0,0,Zadovoljan
zensko,Lojalan putnik,39,Lično putovanje,Ekonomska,240,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,59,Poslovno putovanje,Ekonomska,1235,5,20,11,Neutralan ili nezadovoljan
musko,Lojalan putnik,69,Lično putovanje,Ekonomska Plus,337,4,0,8,Neutralan ili nezadovoljan
musko,Lojalan putnik,70,Lično putovanje,Ekonomska,475,3,166,172,Neutralan ili nezadovoljan
musko,Lojalan putnik,21,Lično putovanje,Ekonomska,1874,1,35,14,Neutralan ili nezadovoljan
zensko,Lojalan putnik,52,Lično putovanje,Ekonomska,577,1,13,1,Neutralan ili nezadovoljan
musko,Lojalan putnik,56,Poslovno putovanje,Poslovna,1452,3,0,0,Zadovoljan
musko,Lojalan putnik,50,Lično putovanje,Ekonomska,1436,4,0,1,Neutralan ili nezadovoljan
zensko,Lojalan putnik,34,Lično putovanje,Ekonomska,473,1,17,8,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,79,Poslovno putovanje,Ekonomska,269,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,41,Poslovno putovanje,Ekonomska,196,1,6,11,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,27,Poslovno putovanje,Ekonomska,2399,3,50,71,Neutralan ili nezadovoljan
musko,Lojalan putnik,64,Poslovno putovanje,Poslovna,2665,3,15,11,Neutralan ili nezadovoljan
zensko,Lojalan putnik,12,Lično putovanje,Ekonomska Plus,283,5,79,71,Neutralan ili nezadovoljan
zensko,Lojalan putnik,52,Lično putovanje,Ekonomska,1874,3,1,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,10,Lično putovanje,Ekonomska,2075,3,18,1,Neutralan ili nezadovoljan
zensko,Lojalan putnik,30,Poslovno putovanje,Poslovna,1744,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,70,Lično putovanje,Ekonomska,624,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,15,Lično putovanje,Ekonomska Plus,474,3,34,50,Neutralan ili nezadovoljan
musko,Lojalan putnik,28,Poslovno putovanje,Poslovna,1749,4,15,8,Zadovoljan
zensko,Lojalan putnik,53,Poslovno putovanje,Poslovna,2249,5,0,0,Zadovoljan
musko,Nelojalan putnik,26,Poslovno putovanje,Poslovna,944,3,0,6,Neutralan ili nezadovoljan
zensko,Lojalan putnik,49,Poslovno putovanje,Ekonomska Plus,2419,4,0,0,Zadovoljan
zensko,Nelojalan putnik,33,Poslovno putovanje,Poslovna,113,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,40,Poslovno putovanje,Poslovna,784,4,0,0,Zadovoljan
musko,Lojalan putnik,32,Poslovno putovanje,Poslovna,270,2,0,0,Zadovoljan
zensko,Nelojalan putnik,23,Poslovno putovanje,Poslovna,1500,3,17,22,Zadovoljan
zensko,Lojalan putnik,28,Poslovno putovanje,Poslovna,1670,2,0,0,Zadovoljan
zensko,Lojalan putnik,50,Poslovno putovanje,Poslovna,2125,2,16,12,Neutralan ili nezadovoljan
zensko,Lojalan putnik,31,Poslovno putovanje,Poslovna,3033,3,19,16,Zadovoljan
zensko,Lojalan putnik,60,Lično putovanje,Ekonomska,861,5,101,99,Neutralan ili nezadovoljan
musko,Lojalan putnik,25,Poslovno putovanje,Poslovna,3547,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,30,Lično putovanje,Ekonomska,618,5,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,24,Poslovno putovanje,Ekonomska,1154,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,63,Lično putovanje,Ekonomska,967,5,9,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,44,Poslovno putovanje,Ekonomska,458,0,75,79,Neutralan ili nezadovoljan
zensko,Lojalan putnik,26,Poslovno putovanje,Poslovna,110,2,0,0,Zadovoljan
zensko,Nelojalan putnik,30,Poslovno putovanje,Poslovna,773,3,0,29,Neutralan ili nezadovoljan
musko,Lojalan putnik,15,Poslovno putovanje,Poslovna,649,4,92,118,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,39,Poslovno putovanje,Poslovna,997,3,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,38,Lično putovanje,Ekonomska,404,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,20,Lično putovanje,Ekonomska,628,5,157,185,Neutralan ili nezadovoljan
musko,Lojalan putnik,40,Poslovno putovanje,Poslovna,447,5,1,0,Zadovoljan
zensko,Lojalan putnik,57,Poslovno putovanje,Ekonomska Plus,397,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,37,Poslovno putovanje,Poslovna,1121,1,0,1,Zadovoljan
zensko,Lojalan putnik,62,Lično putovanje,Ekonomska,946,3,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,13,Poslovno putovanje,Poslovna,1578,5,27,114,Neutralan ili nezadovoljan
musko,Lojalan putnik,10,Lično putovanje,Ekonomska,696,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,61,Poslovno putovanje,Ekonomska,955,3,0,0,Zadovoljan
zensko,Lojalan putnik,66,Poslovno putovanje,Poslovna,3994,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,69,Lično putovanje,Ekonomska,717,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,20,Lično putovanje,Ekonomska,1028,4,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,26,Poslovno putovanje,Ekonomska,501,4,12,1,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,21,Poslovno putovanje,Poslovna,255,4,14,6,Neutralan ili nezadovoljan
musko,Nelojalan putnik,15,Poslovno putovanje,Ekonomska,756,2,5,1,Neutralan ili nezadovoljan
musko,Lojalan putnik,30,Poslovno putovanje,Poslovna,3658,1,57,39,Zadovoljan
musko,Lojalan putnik,19,Lično putovanje,Ekonomska,861,5,14,1,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,59,Poslovno putovanje,Ekonomska,170,0,63,84,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,24,Poslovno putovanje,Ekonomska,1024,2,0,11,Neutralan ili nezadovoljan
musko,Lojalan putnik,24,Lično putovanje,Ekonomska,599,0,12,0,Zadovoljan
zensko,Lojalan putnik,50,Poslovno putovanje,Poslovna,1534,2,0,0,Zadovoljan
zensko,Lojalan putnik,60,Lično putovanje,Ekonomska,1183,5,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,41,Poslovno putovanje,Poslovna,1666,2,18,50,Neutralan ili nezadovoljan
musko,Lojalan putnik,67,Lično putovanje,Ekonomska,1276,4,24,11,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,52,Poslovno putovanje,Ekonomska Plus,590,1,49,68,Neutralan ili nezadovoljan
zensko,Lojalan putnik,54,Poslovno putovanje,Poslovna,2284,4,0,0,Zadovoljan
zensko,Lojalan putnik,10,Lično putovanje,Ekonomska Plus,264,4,0,0,Zadovoljan
musko,Lojalan putnik,57,Poslovno putovanje,Poslovna,3496,2,0,0,Zadovoljan
musko,Lojalan putnik,38,Poslovno putovanje,Poslovna,746,1,22,1,Zadovoljan
musko,Nelojalan putnik,50,Poslovno putovanje,Ekonomska,109,0,0,1,Neutralan ili nezadovoljan
musko,Nelojalan putnik,26,Poslovno putovanje,Ekonomska,828,1,0,25,Neutralan ili nezadovoljan
zensko,Lojalan putnik,44,Poslovno putovanje,Poslovna,1634,1,0,0,Zadovoljan
musko,Lojalan putnik,51,Poslovno putovanje,Ekonomska,361,4,13,0,Zadovoljan
musko,Lojalan putnik,64,Poslovno putovanje,Ekonomska Plus,143,4,0,0,Zadovoljan
musko,Nelojalan putnik,62,Poslovno putovanje,Poslovna,954,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,45,Lično putovanje,Ekonomska,508,4,0,8,Neutralan ili nezadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,413,4,33,43,Neutralan ili nezadovoljan
musko,Lojalan putnik,27,Lično putovanje,Ekonomska Plus,1013,2,0,7,Neutralan ili nezadovoljan
zensko,Lojalan putnik,29,Poslovno putovanje,Poslovna,3086,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,30,Lično putovanje,Ekonomska,691,1,21,38,Neutralan ili nezadovoljan
zensko,Lojalan putnik,60,Poslovno putovanje,Poslovna,1817,2,6,2,Zadovoljan
musko,Lojalan putnik,53,Poslovno putovanje,Poslovna,237,5,0,0,Zadovoljan
musko,Lojalan putnik,36,Lično putovanje,Poslovna,1187,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,3621,5,17,11,Zadovoljan
zensko,Nelojalan putnik,13,Poslovno putovanje,Ekonomska,1892,3,2,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,22,Poslovno putovanje,Poslovna,536,0,3,0,Zadovoljan
musko,Nelojalan putnik,21,Poslovno putovanje,Poslovna,1399,1,11,12,Neutralan ili nezadovoljan
zensko,Lojalan putnik,51,Poslovno putovanje,Poslovna,472,2,42,49,Zadovoljan
musko,Lojalan putnik,59,Poslovno putovanje,Poslovna,2286,2,0,0,Zadovoljan
zensko,Nelojalan putnik,23,Poslovno putovanje,Ekonomska,164,3,0,0,Zadovoljan
musko,Lojalan putnik,52,Poslovno putovanje,Poslovna,1055,5,43,37,Zadovoljan
zensko,Lojalan putnik,39,Poslovno putovanje,Poslovna,295,1,0,0,Zadovoljan
zensko,Lojalan putnik,64,Poslovno putovanje,Ekonomska Plus,1744,2,0,9,Neutralan ili nezadovoljan
musko,Lojalan putnik,7,Lično putovanje,Ekonomska,296,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,70,Lično putovanje,Ekonomska,447,4,13,10,Neutralan ili nezadovoljan
musko,Lojalan putnik,55,Poslovno putovanje,Poslovna,544,4,42,39,Zadovoljan
musko,Nelojalan putnik,23,Poslovno putovanje,Ekonomska,587,5,35,26,Neutralan ili nezadovoljan
zensko,Lojalan putnik,49,Lično putovanje,Ekonomska,315,1,108,103,Neutralan ili nezadovoljan
zensko,Lojalan putnik,41,Poslovno putovanje,Poslovna,1723,1,46,74,Zadovoljan
zensko,Lojalan putnik,17,Poslovno putovanje,Poslovna,1721,1,0,0,Zadovoljan
zensko,Lojalan putnik,41,Poslovno putovanje,Ekonomska,1076,3,78,68,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,26,Poslovno putovanje,Ekonomska,589,0,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,65,Lično putovanje,Ekonomska,545,2,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,36,Poslovno putovanje,Poslovna,764,2,0,15,Neutralan ili nezadovoljan
musko,Nelojalan putnik,25,Poslovno putovanje,Ekonomska,1012,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,46,Poslovno putovanje,Poslovna,993,5,0,5,Neutralan ili nezadovoljan
musko,Lojalan putnik,13,Lično putovanje,Ekonomska,236,4,3,7,Neutralan ili nezadovoljan
zensko,Lojalan putnik,49,Poslovno putovanje,Poslovna,2493,3,0,0,Zadovoljan
musko,Lojalan putnik,23,Poslovno putovanje,Poslovna,1528,1,0,0,Zadovoljan
musko,Lojalan putnik,57,Poslovno putovanje,Poslovna,2503,1,19,18,Zadovoljan
musko,Lojalan putnik,44,Lično putovanje,Ekonomska,404,5,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,27,Poslovno putovanje,Ekonomska,680,3,7,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,62,Poslovno putovanje,Ekonomska,983,3,5,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,29,Poslovno putovanje,Ekonomska Plus,214,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,30,Lično putovanje,Ekonomska,237,4,7,2,Neutralan ili nezadovoljan
musko,Lojalan putnik,71,Poslovno putovanje,Ekonomska,200,3,0,0,Zadovoljan
musko,Lojalan putnik,11,Lično putovanje,Ekonomska,745,5,15,11,Neutralan ili nezadovoljan
zensko,Lojalan putnik,61,Poslovno putovanje,Ekonomska,184,4,0,26,Neutralan ili nezadovoljan
musko,Lojalan putnik,46,Lično putovanje,Ekonomska,462,4,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,40,Poslovno putovanje,Poslovna,349,2,15,7,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,65,Poslovno putovanje,Ekonomska Plus,133,2,14,15,Neutralan ili nezadovoljan
zensko,Lojalan putnik,32,Poslovno putovanje,Ekonomska,1167,2,136,150,Zadovoljan
zensko,Lojalan putnik,35,Poslovno putovanje,Poslovna,1121,1,0,0,Zadovoljan
musko,Lojalan putnik,13,Lično putovanje,Ekonomska,283,1,52,37,Neutralan ili nezadovoljan
zensko,Lojalan putnik,56,Lično putovanje,Ekonomska,838,5,30,23,Neutralan ili nezadovoljan
musko,Lojalan putnik,37,Poslovno putovanje,Poslovna,600,2,48,40,Zadovoljan
zensko,Nelojalan putnik,19,Poslovno putovanje,Ekonomska,711,2,30,34,Neutralan ili nezadovoljan
zensko,Lojalan putnik,62,Lično putovanje,Ekonomska,570,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,41,Poslovno putovanje,Poslovna,3312,2,6,1,Zadovoljan
musko,Lojalan putnik,22,Poslovno putovanje,Ekonomska Plus,2611,4,0,0,Zadovoljan
musko,Nelojalan putnik,35,Poslovno putovanje,Poslovna,1129,2,23,16,Neutralan ili nezadovoljan
zensko,Lojalan putnik,64,Lično putovanje,Ekonomska,373,0,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,37,Poslovno putovanje,Poslovna,3346,3,0,0,Zadovoljan
musko,Nelojalan putnik,29,Poslovno putovanje,Poslovna,1590,4,36,23,Zadovoljan
zensko,Nelojalan putnik,23,Poslovno putovanje,Poslovna,460,2,381,374,Zadovoljan
zensko,Lojalan putnik,29,Lično putovanje,Ekonomska,868,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,11,Lično putovanje,Ekonomska,110,2,70,64,Neutralan ili nezadovoljan
musko,Lojalan putnik,34,Lično putovanje,Ekonomska,618,5,0,1,Neutralan ili nezadovoljan
zensko,Lojalan putnik,38,Poslovno putovanje,Ekonomska,323,1,27,27,Neutralan ili nezadovoljan
musko,Lojalan putnik,60,Poslovno putovanje,Poslovna,1119,4,0,39,Zadovoljan
zensko,Lojalan putnik,41,Poslovno putovanje,Ekonomska,452,5,27,35,Neutralan ili nezadovoljan
zensko,Lojalan putnik,10,Lično putovanje,Ekonomska Plus,872,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,27,Lično putovanje,Ekonomska,529,1,10,7,Neutralan ili nezadovoljan
zensko,Lojalan putnik,10,Lično putovanje,Ekonomska Plus,334,4,11,19,Neutralan ili nezadovoljan
zensko,Lojalan putnik,17,Lično putovanje,Ekonomska,156,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,32,Poslovno putovanje,Ekonomska Plus,909,2,0,0,Zadovoljan
musko,Lojalan putnik,53,Poslovno putovanje,Ekonomska,411,5,0,0,Zadovoljan
musko,Nelojalan putnik,22,Poslovno putovanje,Poslovna,530,3,0,0,Zadovoljan
zensko,Lojalan putnik,49,Lično putovanje,Ekonomska,351,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,49,Poslovno putovanje,Poslovna,391,4,62,84,Zadovoljan
zensko,Lojalan putnik,35,Poslovno putovanje,Ekonomska,1506,0,90,135,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,50,Poslovno putovanje,Poslovna,590,0,0,0,Zadovoljan
zensko,Lojalan putnik,36,Poslovno putovanje,Poslovna,2556,4,0,3,Zadovoljan
musko,Lojalan putnik,30,Poslovno putovanje,Poslovna,3218,4,0,0,Zadovoljan
musko,Lojalan putnik,46,Poslovno putovanje,Ekonomska,531,2,0,0,Zadovoljan
musko,Lojalan putnik,53,Poslovno putovanje,Poslovna,402,5,0,0,Zadovoljan
zensko,Lojalan putnik,15,Lično putovanje,Ekonomska,646,1,1,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,48,Poslovno putovanje,Poslovna,1741,2,14,48,Zadovoljan
zensko,Lojalan putnik,48,Poslovno putovanje,Poslovna,239,1,30,28,Zadovoljan
musko,Lojalan putnik,58,Poslovno putovanje,Poslovna,3748,5,0,9,Zadovoljan
zensko,Nelojalan putnik,43,Poslovno putovanje,Ekonomska,189,3,12,20,Neutralan ili nezadovoljan
zensko,Lojalan putnik,45,Poslovno putovanje,Ekonomska,1005,1,57,67,Neutralan ili nezadovoljan
musko,Lojalan putnik,49,Poslovno putovanje,Poslovna,759,2,0,0,Zadovoljan
musko,Nelojalan putnik,36,Poslovno putovanje,Poslovna,777,1,1,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,63,Poslovno putovanje,Ekonomska,106,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,46,Lično putovanje,Ekonomska,1771,4,2,9,Neutralan ili nezadovoljan
musko,Lojalan putnik,30,Poslovno putovanje,Poslovna,2172,4,0,0,Zadovoljan
zensko,Lojalan putnik,70,Lično putovanje,Ekonomska Plus,345,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,59,Poslovno putovanje,Poslovna,349,5,12,0,Zadovoljan
zensko,Nelojalan putnik,25,Poslovno putovanje,Ekonomska Plus,1671,2,0,9,Neutralan ili nezadovoljan
zensko,Lojalan putnik,13,Poslovno putovanje,Ekonomska,2329,5,0,0,Zadovoljan
zensko,Lojalan putnik,66,Lično putovanje,Ekonomska,2585,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Ekonomska Plus,1197,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,37,Poslovno putovanje,Poslovna,611,3,9,0,Zadovoljan
musko,Lojalan putnik,30,Poslovno putovanje,Poslovna,2667,1,11,0,Zadovoljan
zensko,Lojalan putnik,33,Lično putovanje,Ekonomska,1197,4,38,20,Neutralan ili nezadovoljan
zensko,Lojalan putnik,39,Poslovno putovanje,Ekonomska,2329,3,18,34,Neutralan ili nezadovoljan
zensko,Lojalan putnik,22,Lično putovanje,Ekonomska,515,4,14,3,Zadovoljan
zensko,Lojalan putnik,19,Lično putovanje,Ekonomska Plus,588,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,20,Poslovno putovanje,Poslovna,1363,3,44,46,Zadovoljan
zensko,Lojalan putnik,60,Poslovno putovanje,Poslovna,3014,4,12,5,Zadovoljan
zensko,Lojalan putnik,38,Lično putovanje,Ekonomska,1313,5,12,32,Zadovoljan
zensko,Lojalan putnik,55,Poslovno putovanje,Poslovna,1750,1,0,0,Zadovoljan
musko,Lojalan putnik,38,Poslovno putovanje,Ekonomska Plus,542,4,45,34,Zadovoljan
zensko,Lojalan putnik,9,Lično putovanje,Ekonomska,631,2,17,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,53,Lično putovanje,Ekonomska,297,5,36,28,Neutralan ili nezadovoljan
musko,Lojalan putnik,54,Poslovno putovanje,Poslovna,3295,1,0,1,Zadovoljan
musko,Lojalan putnik,55,Poslovno putovanje,Poslovna,2742,0,30,13,Zadovoljan
zensko,Lojalan putnik,38,Poslovno putovanje,Poslovna,3031,5,0,2,Neutralan ili nezadovoljan
musko,Nelojalan putnik,29,Poslovno putovanje,Ekonomska,2454,1,51,57,Neutralan ili nezadovoljan
zensko,Lojalan putnik,41,Poslovno putovanje,Poslovna,895,5,16,19,Zadovoljan
zensko,Lojalan putnik,39,Poslovno putovanje,Poslovna,157,5,0,0,Zadovoljan
musko,Nelojalan putnik,33,Poslovno putovanje,Poslovna,594,2,37,26,Neutralan ili nezadovoljan
musko,Nelojalan putnik,36,Poslovno putovanje,Ekonomska Plus,533,2,36,35,Neutralan ili nezadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Poslovna,319,0,0,0,Zadovoljan
musko,Nelojalan putnik,25,Poslovno putovanje,Ekonomska,479,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,17,Poslovno putovanje,Ekonomska Plus,370,3,12,14,Neutralan ili nezadovoljan
musko,Lojalan putnik,34,Lično putovanje,Ekonomska,602,4,130,140,Neutralan ili nezadovoljan
musko,Lojalan putnik,52,Poslovno putovanje,Poslovna,3599,1,82,100,Neutralan ili nezadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,1744,2,43,57,Zadovoljan
zensko,Lojalan putnik,28,Poslovno putovanje,Poslovna,1887,1,0,0,Zadovoljan
zensko,Lojalan putnik,18,Lično putovanje,Ekonomska,250,5,0,7,Neutralan ili nezadovoljan
zensko,Lojalan putnik,29,Poslovno putovanje,Poslovna,2511,5,0,0,Zadovoljan
zensko,Lojalan putnik,45,Poslovno putovanje,Poslovna,3189,5,104,102,Zadovoljan
musko,Lojalan putnik,32,Poslovno putovanje,Poslovna,413,5,0,15,Zadovoljan
musko,Lojalan putnik,53,Poslovno putovanje,Poslovna,1641,0,0,16,Zadovoljan
musko,Lojalan putnik,51,Poslovno putovanje,Poslovna,490,5,0,0,Zadovoljan
zensko,Lojalan putnik,42,Lično putovanje,Ekonomska,1346,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,50,Poslovno putovanje,Poslovna,502,1,66,54,Zadovoljan
musko,Lojalan putnik,66,Poslovno putovanje,Ekonomska,414,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,34,Lično putovanje,Ekonomska,214,4,0,26,Neutralan ili nezadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,197,4,8,29,Neutralan ili nezadovoljan
musko,Nelojalan putnik,22,Poslovno putovanje,Ekonomska,571,1,35,91,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,29,Poslovno putovanje,Poslovna,2079,1,0,1,Neutralan ili nezadovoljan
musko,Lojalan putnik,59,Lično putovanje,Ekonomska,1325,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,50,Poslovno putovanje,Ekonomska Plus,1199,5,84,66,Neutralan ili nezadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Poslovna,228,5,7,4,Neutralan ili nezadovoljan
musko,Lojalan putnik,59,Poslovno putovanje,Poslovna,432,5,78,55,Zadovoljan
zensko,Lojalan putnik,29,Poslovno putovanje,Ekonomska,1666,3,0,18,Zadovoljan
musko,Lojalan putnik,48,Poslovno putovanje,Ekonomska,191,1,0,0,Zadovoljan
musko,Lojalan putnik,58,Lično putovanje,Ekonomska,503,4,3,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,69,Lično putovanje,Ekonomska,723,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,33,Poslovno putovanje,Ekonomska,77,5,25,20,Neutralan ili nezadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Poslovna,1650,2,45,42,Zadovoljan
zensko,Lojalan putnik,42,Poslovno putovanje,Ekonomska,305,1,4,0,Zadovoljan
musko,Nelojalan putnik,31,Poslovno putovanje,Ekonomska,1282,0,13,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,46,Poslovno putovanje,Poslovna,2096,5,4,0,Zadovoljan
zensko,Lojalan putnik,27,Lično putovanje,Ekonomska,679,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,55,Poslovno putovanje,Poslovna,447,4,0,0,Zadovoljan
musko,Nelojalan putnik,45,Poslovno putovanje,Poslovna,651,1,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,33,Poslovno putovanje,Poslovna,3648,5,117,108,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,23,Poslovno putovanje,Ekonomska,258,5,111,140,Neutralan ili nezadovoljan
zensko,Lojalan putnik,63,Poslovno putovanje,Poslovna,691,4,0,0,Zadovoljan
musko,Lojalan putnik,60,Poslovno putovanje,Ekonomska Plus,738,1,44,36,Neutralan ili nezadovoljan
zensko,Lojalan putnik,52,Poslovno putovanje,Poslovna,650,5,64,64,Zadovoljan
zensko,Nelojalan putnik,25,Poslovno putovanje,Ekonomska,407,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,68,Poslovno putovanje,Poslovna,3043,2,1,0,Zadovoljan
zensko,Lojalan putnik,59,Poslovno putovanje,Poslovna,1337,5,0,0,Zadovoljan
zensko,Lojalan putnik,53,Lično putovanje,Ekonomska,296,4,0,0,Zadovoljan
zensko,Lojalan putnik,24,Lično putovanje,Ekonomska,270,0,44,41,Neutralan ili nezadovoljan
zensko,Lojalan putnik,58,Lično putovanje,Poslovna,787,1,7,31,Neutralan ili nezadovoljan
musko,Lojalan putnik,40,Poslovno putovanje,Ekonomska,363,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,43,Lično putovanje,Ekonomska,259,5,1,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,60,Poslovno putovanje,Poslovna,440,4,17,0,Zadovoljan
zensko,Nelojalan putnik,35,Poslovno putovanje,Ekonomska,666,4,0,26,Neutralan ili nezadovoljan
zensko,Lojalan putnik,34,Poslovno putovanje,Poslovna,191,3,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,60,Lično putovanje,Ekonomska,1504,3,28,25,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,37,Poslovno putovanje,Poslovna,304,4,0,0,Zadovoljan
zensko,Lojalan putnik,13,Lično putovanje,Ekonomska,479,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,11,Lično putovanje,Ekonomska,247,1,0,12,Neutralan ili nezadovoljan
zensko,Lojalan putnik,62,Poslovno putovanje,Poslovna,1235,3,0,0,Zadovoljan
zensko,Lojalan putnik,31,Poslovno putovanje,Poslovna,3702,5,71,69,Neutralan ili nezadovoljan
zensko,Lojalan putnik,52,Poslovno putovanje,Poslovna,2586,3,0,0,Zadovoljan
zensko,Lojalan putnik,45,Poslovno putovanje,Poslovna,3067,4,0,0,Zadovoljan
zensko,Lojalan putnik,52,Lično putovanje,Ekonomska,2449,3,2,6,Neutralan ili nezadovoljan
